61_x,61_y,291_x,291_y,61_291_distance
487,469,625,481,138.52075656738234
491,471,624,482,133.4541119636259
492,470,626,481,134.45073447177595
493,471,625,479,132.24220203853233
493,474,623,481,130.18832512940628
493,475,621,482,128.191263352851
494,476,623,484,129.24782396620841
493,479,625,485,132.13629327327143
493,481,627,489,134.23859355639868
493,485,627,491,134.13426109685773
497,485,630,493,133.24038426843418
496,486,631,494,135.2368293032634
501,486,632,495,131.30879635424276
502,487,634,496,132.30646242719968
506,488,638,497,132.30646242719968
509,490,640,499,131.30879635424276
509,490,643,498,134.23859355639868
510,490,644,500,134.3726162579266
510,490,644,500,134.3726162579266
509,490,644,499,135.29966740535616
509,489,647,499,138.36184445142382
510,488,647,497,137.2953021774598
510,486,647,496,137.3644786689776
508,483,647,494,139.43457247038842
507,482,647,493,140.4314779527724
506,482,644,493,138.43771162512041
508,480,642,489,134.30189872075525
510,478,643,485,133.18408313308313
509,477,643,482,134.09325113517085
508,476,641,481,133.09395177843356
507,475,639,481,132.13629327327143
503,475,636,481,133.13526955694348
501,477,634,483,133.13526955694348
501,475,630,482,129.18978287774928
501,475,627,482,126.19429464123962
502,474,630,481,128.191263352851
503,475,628,480,125.09996003196804
501,480,630,486,129.1394595001853
499,489,632,494,133.09395177843356
499,496,630,502,131.13733259449805
494,509,631,511,137.01459776242822
490,513,629,515,139.01438774457844
491,508,627,513,136.09188072769072
500,504,626,509,126.09916732476864
498,502,627,505,129.0348790056394
494,498,626,501,132.03408650799233
496,494,629,497,133.0338302838793
499,493,633,495,134.01492454200763
499,492,635,497,136.09188072769072
497,496,633,500,136.0588108135596
498,499,629,504,131.0953851209111
495,498,627,503,132.09466302617983
491,497,626,502,135.09256086106296
490,497,629,501,139.05754204644924
489,496,632,501,143.0873858870865
488,495,630,499,142.0563268566381
486,493,630,497,144.05554484295286
486,492,629,495,143.0314650697531
488,492,627,495,139.0323703315167
488,492,627,494,139.01438774457844
488,492,626,495,138.03260484392808
487,491,627,494,140.03213916812098
488,491,626,493,138.01449199268893
488,492,627,495,139.0323703315167
487,493,627,495,140.0142849854971
487,494,626,496,139.01438774457844
487,494,626,497,139.0323703315167
487,494,626,497,139.0323703315167
486,495,625,498,139.0323703315167
487,494,623,498,136.0588108135596
486,494,623,497,137.03284277865654
486,494,623,497,137.03284277865654
484,495,623,498,139.0323703315167
483,495,623,499,140.05713120009278
483,495,623,499,140.05713120009278
481,496,623,500,142.0563268566381
481,497,620,501,139.05754204644924
480,497,621,502,141.088624630053
479,500,621,504,142.0563268566381
479,501,621,506,142.08800090085018
480,502,623,506,143.05593311708537
480,502,623,508,143.1258187749506
480,504,623,508,143.05593311708537
481,503,625,510,144.1700384962146
483,503,625,511,142.22517358048822
480,505,627,511,147.12239802287073
481,504,626,511,145.16886718577092
481,505,627,510,146.08559134972896
482,505,627,510,145.08618128546908
480,504,627,510,147.12239802287073
481,503,629,509,148.12157169028418
482,502,628,508,146.12323566086263
482,501,631,508,149.164338901763
484,501,631,507,147.12239802287073
485,499,631,506,146.16771189288008
486,499,631,504,145.08618128546908
486,498,629,504,143.1258187749506
487,501,629,507,142.12670403551894
486,501,630,506,144.08677940741129
486,500,630,507,144.1700384962146
486,499,627,508,141.28694207179942
484,500,627,508,143.22360140703069
486,502,624,509,138.1774221788784
489,505,621,512,132.1854757528224
491,507,620,513,129.1394595001853
489,508,620,515,131.18688958886096
489,509,620,515,131.13733259449805
488,509,619,516,131.18688958886096
480,511,621,519,141.2267680009707
479,511,624,519,145.2205219657332
477,510,624,518,147.2175261305528
477,509,624,518,147.27525250360293
481,510,625,521,144.4195277654653
492,509,619,519,127.39309243440164
487,512,621,517,134.09325113517085
484,509,623,517,139.2300254973761
486,511,620,517,134.13426109685773
485,509,621,516,136.1800279042415
483,509,620,515,137.13132391981054
486,507,618,516,132.30646242719968
485,507,617,516,132.30646242719968
484,506,618,516,134.3726162579266
484,505,617,515,133.37541002748594
485,504,616,514,131.38112497615478
484,503,613,514,129.46814279968643
483,503,613,514,130.4645545732633
482,504,613,514,131.38112497615478
482,502,613,514,131.54847015454038
483,502,614,513,131.4610208388783
482,499,616,510,134.45073447177595
483,500,615,510,132.3782459469833
483,502,614,515,131.64345787011217
485,505,613,519,128.76334882255898
484,506,615,518,131.54847015454038
483,506,616,518,133.5402561027947
481,507,616,518,135.44740676735012
480,506,615,517,135.44740676735012
473,503,610,517,137.71347065556077
472,503,610,518,138.81282361511128
473,503,611,516,138.61096637712328
478,501,610,513,132.54433220624713
478,500,611,511,133.4541119636259
478,499,613,509,135.36986370680884
474,499,613,507,139.2300254973761
475,497,613,506,138.2931668593933
475,496,614,506,139.35924798878617
474,495,614,506,140.4314779527724
474,494,616,505,142.42541907960108
473,493,618,503,145.34441853748632
473,493,617,502,144.2809758769326
471,491,617,502,146.4137971640651
472,492,616,502,144.34680460612904
469,492,615,503,146.4137971640651
469,494,612,503,143.28293687665675
468,494,609,504,141.35416513141735
464,491,606,502,142.42541907960108
464,491,604,502,140.4314779527724
464,492,606,502,142.35167719419397
468,493,606,503,138.36184445142382
469,493,607,502,138.2931668593933
470,493,609,503,139.35924798878617
472,493,610,504,138.43771162512041
474,495,611,506,137.44089638822936
474,497,612,507,138.36184445142382
474,496,614,508,140.51334456200237
476,496,617,509,141.59802258506295
477,496,617,510,140.69825869569246
477,496,617,509,140.60227594174995
476,496,617,510,141.69333082400175
477,495,615,510,138.81282361511128
477,496,616,510,139.70325694127536
477,496,614,511,137.81872151489435
477,496,614,512,137.93114224133723
475,494,617,511,143.01398533010678
476,493,615,507,139.70325694127536
476,491,617,506,141.7956275771577
479,493,621,507,142.68847185389575
479,493,622,507,143.68368035375485
483,497,621,508,138.43771162512041
481,498,621,511,140.60227594174995
480,500,621,511,141.42842712835352
482,504,622,513,140.28898745090436
482,505,621,514,139.29106216839614
484,507,621,516,137.2953021774598
482,507,619,517,137.3644786689776
483,505,620,515,137.3644786689776
482,503,620,512,138.2931668593933
482,503,618,512,136.2974687952788
479,502,618,512,139.35924798878617
478,503,618,513,140.356688476182
476,504,617,515,141.42842712835352
476,505,615,516,139.43457247038842
474,504,615,515,141.42842712835352
474,503,614,516,140.60227594174995
473,503,613,516,140.60227594174995
472,505,613,517,141.50971698084905
473,505,614,516,141.42842712835352
473,507,613,517,140.356688476182
480,506,611,516,131.38112497615478
480,505,611,513,131.24404748406687
479,501,608,509,129.24782396620841
478,497,608,506,130.31116606031887
478,491,610,501,132.3782459469833
477,486,613,496,136.36715146984628
475,484,613,496,138.52075656738234
476,486,614,499,138.61096637712328
471,489,614,502,143.58969322343438
473,491,612,502,139.43457247038842
473,489,613,501,140.51334456200237
474,487,615,500,141.59802258506295
480,488,612,500,132.54433220624713
482,488,611,501,129.65338406690356
478,488,611,503,133.843191832831
478,491,611,505,133.73481222179961
480,492,613,507,133.843191832831
482,492,619,507,137.81872151489435
486,493,619,507,133.73481222179961
491,493,622,509,131.97348218486925
495,496,622,511,127.88275880665071
495,495,623,511,128.9961239727768
497,498,624,513,127.88275880665071
497,497,624,512,127.88275880665071
497,494,624,510,128.00390619039717
499,496,622,511,123.9112585683803
501,500,625,514,124.78781991845197
503,503,626,516,123.68508398347798
503,503,631,515,128.56126943990557
501,502,632,514,131.54847015454038
502,502,637,513,135.44740676735012
503,500,638,511,135.44740676735012
507,501,642,512,135.44740676735012
505,504,645,515,140.4314779527724
507,505,648,516,141.42842712835352
509,508,649,518,140.356688476182
509,508,652,519,143.42245291445826
508,510,652,522,144.49913494550754
503,512,651,522,148.33745312630927
501,513,646,524,145.41664278891878
499,515,645,525,146.34206503941374
501,515,643,524,142.28492541376264
504,518,640,525,136.1800279042415
503,519,639,526,136.1800279042415
501,520,638,527,137.17871555019022
501,520,638,528,137.23337786413333
498,521,637,526,139.0898989862312
495,520,636,526,141.12760183606892
493,520,635,527,142.1724305201258
491,519,634,527,143.22360140703069
489,519,634,527,145.2205219657332
490,518,632,528,142.35167719419397
488,518,631,529,143.42245291445826
488,518,630,529,142.42541907960108
489,519,630,530,141.42842712835352
489,519,630,531,141.50971698084905
490,519,630,531,140.51334456200237
491,518,631,532,140.69825869569246
493,520,633,533,140.60227594174995
496,520,635,533,139.60659010233005
499,520,635,534,136.7186892857008
501,519,640,533,139.70325694127536
504,521,637,533,133.5402561027947
505,520,637,533,132.6386067478093
504,519,638,532,134.6291201783626
505,518,639,532,134.72935834479432
506,518,640,532,134.72935834479432
508,519,640,535,132.9661611087573
509,521,640,537,131.97348218486925
509,521,642,536,133.843191832831
509,519,644,534,135.83077707206124
512,519,643,534,131.85598204101322
513,518,644,533,131.85598204101322
510,518,644,532,134.72935834479432
510,517,646,532,136.82470537150812
511,517,643,532,132.84953895290718
510,515,643,531,133.9589489358587
510,513,643,530,134.08206442324789
509,512,642,529,134.08206442324789
508,511,642,527,134.9518432626987
