blinks,perclos,blink time,time between blinks
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
False,0.0,0.0,0.0
