Frame,BPM,BPM_filtre,BPM_interp
265,88.0,88.0,88.0
266,88.0,88.0,88.0
267,88.0,88.0,88.0
268,88.0,88.0,88.0
269,88.0,88.0,88.0
270,64.0,0.0,88.03125
271,64.0,0.0,88.0625
272,64.0,0.0,88.09375
273,64.0,0.0,88.125
274,64.0,0.0,88.15625
275,64.0,0.0,88.1875
276,64.0,0.0,88.21875
277,64.0,0.0,88.25
278,64.0,0.0,88.28125
279,64.0,0.0,88.3125
280,64.0,0.0,88.34375
281,64.0,0.0,88.375
282,64.0,0.0,88.40625
283,64.0,0.0,88.4375
284,64.0,0.0,88.46875
285,64.0,0.0,88.5
286,64.0,0.0,88.53125
287,64.0,0.0,88.5625
288,64.0,0.0,88.59375
289,64.0,0.0,88.625
290,64.0,0.0,88.65625
291,64.0,0.0,88.6875
292,64.0,0.0,88.71875
293,64.0,0.0,88.75
294,64.0,0.0,88.78125
295,64.0,0.0,88.8125
296,64.0,0.0,88.84375
297,64.0,0.0,88.875
298,64.0,0.0,88.90625
299,64.0,0.0,88.9375
300,64.0,0.0,88.96875
301,64.0,0.0,89.0
302,64.0,0.0,89.03125
303,64.0,0.0,89.0625
304,64.0,0.0,89.09375
305,64.0,0.0,89.125
306,64.0,0.0,89.15625
307,64.0,0.0,89.1875
308,64.0,0.0,89.21875
309,64.0,0.0,89.25
310,64.0,0.0,89.28125
311,64.0,0.0,89.3125
312,64.0,0.0,89.34375
313,64.0,0.0,89.375
314,64.0,0.0,89.40625
315,112.0,0.0,89.4375
316,112.0,0.0,89.46875
317,112.0,0.0,89.5
318,112.0,0.0,89.53125
319,112.0,0.0,89.5625
320,112.0,0.0,89.59375
321,112.0,0.0,89.625
322,112.0,0.0,89.65625
323,112.0,0.0,89.6875
324,112.0,0.0,89.71875
325,112.0,0.0,89.75
326,112.0,0.0,89.78125
327,112.0,0.0,89.8125
328,112.0,0.0,89.84375
329,112.0,0.0,89.875
330,120.0,0.0,89.90625
331,120.0,0.0,89.9375
332,120.0,0.0,89.96875
333,120.0,0.0,90.0
334,120.0,0.0,90.03125
335,120.0,0.0,90.0625
336,120.0,0.0,90.09375
337,120.0,0.0,90.125
338,120.0,0.0,90.15625
339,120.0,0.0,90.1875
340,120.0,0.0,90.21875
341,120.0,0.0,90.25
342,120.0,0.0,90.28125
343,120.0,0.0,90.3125
344,120.0,0.0,90.34375
345,64.0,0.0,90.375
346,64.0,0.0,90.40625
347,64.0,0.0,90.4375
348,64.0,0.0,90.46875
349,64.0,0.0,90.5
350,64.0,0.0,90.53125
351,64.0,0.0,90.5625
352,64.0,0.0,90.59375
353,64.0,0.0,90.625
354,64.0,0.0,90.65625
355,64.0,0.0,90.6875
356,64.0,0.0,90.71875
357,64.0,0.0,90.75
358,64.0,0.0,90.78125
359,64.0,0.0,90.8125
360,120.0,0.0,90.84375
361,120.0,0.0,90.875
362,120.0,0.0,90.90625
363,120.0,0.0,90.9375
364,120.0,0.0,90.96875
365,120.0,0.0,91.0
366,120.0,0.0,91.03125
367,120.0,0.0,91.0625
368,120.0,0.0,91.09375
369,120.0,0.0,91.125
370,120.0,0.0,91.15625
371,120.0,0.0,91.1875
372,120.0,0.0,91.21875
373,120.0,0.0,91.25
374,120.0,0.0,91.28125
375,64.0,0.0,91.3125
376,64.0,0.0,91.34375
377,64.0,0.0,91.375
378,64.0,0.0,91.40625
379,64.0,0.0,91.4375
380,64.0,0.0,91.46875
381,64.0,0.0,91.5
382,64.0,0.0,91.53125
383,64.0,0.0,91.5625
384,64.0,0.0,91.59375
385,64.0,0.0,91.625
386,64.0,0.0,91.65625
387,64.0,0.0,91.6875
388,64.0,0.0,91.71875
389,64.0,0.0,91.75
390,120.0,0.0,91.78125
391,120.0,0.0,91.8125
392,120.0,0.0,91.84375
393,120.0,0.0,91.875
394,120.0,0.0,91.90625
395,120.0,0.0,91.9375
396,120.0,0.0,91.96875
397,120.0,0.0,92.0
398,120.0,0.0,92.03125
399,120.0,0.0,92.0625
400,120.0,0.0,92.09375
401,120.0,0.0,92.125
402,120.0,0.0,92.15625
403,120.0,0.0,92.1875
404,120.0,0.0,92.21875
405,120.0,0.0,92.25
406,120.0,0.0,92.28125
407,120.0,0.0,92.3125
408,120.0,0.0,92.34375
409,120.0,0.0,92.375
410,120.0,0.0,92.40625
411,120.0,0.0,92.4375
412,120.0,0.0,92.46875
413,120.0,0.0,92.5
414,120.0,0.0,92.53125
415,120.0,0.0,92.5625
416,120.0,0.0,92.59375
417,120.0,0.0,92.625
418,120.0,0.0,92.65625
419,120.0,0.0,92.6875
420,120.0,0.0,92.71875
421,120.0,0.0,92.75
422,120.0,0.0,92.78125
423,120.0,0.0,92.8125
424,120.0,0.0,92.84375
425,120.0,0.0,92.875
426,120.0,0.0,92.90625
427,120.0,0.0,92.9375
428,120.0,0.0,92.96875
429,120.0,0.0,93.0
430,120.0,0.0,93.03125
431,120.0,0.0,93.0625
432,120.0,0.0,93.09375
433,120.0,0.0,93.125
434,120.0,0.0,93.15625
435,88.0,0.0,93.1875
436,88.0,0.0,93.21875
437,88.0,0.0,93.25
438,88.0,0.0,93.28125
439,88.0,0.0,93.3125
440,88.0,0.0,93.34375
441,88.0,0.0,93.375
442,88.0,0.0,93.40625
443,88.0,0.0,93.4375
444,88.0,0.0,93.46875
445,88.0,0.0,93.5
446,88.0,0.0,93.53125
447,88.0,0.0,93.5625
448,88.0,0.0,93.59375
449,88.0,0.0,93.625
450,88.0,0.0,93.65625
451,88.0,0.0,93.6875
452,88.0,0.0,93.71875
453,88.0,0.0,93.75
454,88.0,0.0,93.78125
455,88.0,0.0,93.8125
456,88.0,0.0,93.84375
457,88.0,0.0,93.875
458,88.0,0.0,93.90625
459,88.0,0.0,93.9375
460,88.0,0.0,93.96875
461,88.0,0.0,94.0
462,88.0,0.0,94.03125
463,88.0,0.0,94.0625
464,88.0,0.0,94.09375
465,88.0,0.0,94.125
466,88.0,0.0,94.15625
467,88.0,0.0,94.1875
468,88.0,0.0,94.21875
469,88.0,0.0,94.25
470,88.0,0.0,94.28125
471,88.0,0.0,94.3125
